GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
0500000US06001,06001,"Alameda County, California",1559308,*****
0500000US06003,06003,"Alpine County, California",1202,190
0500000US06005,06005,"Amador County, California",37159,*****
0500000US06007,06007,"Butte County, California",221578,*****
0500000US06009,06009,"Calaveras County, California",44921,*****
0500000US06011,06011,"Colusa County, California",21424,*****
0500000US06013,06013,"Contra Costa County, California",1081232,*****
0500000US06015,06015,"Del Norte County, California",28066,*****
0500000US06017,06017,"El Dorado County, California",181465,*****
0500000US06019,06019,"Fresno County, California",948844,*****
0500000US06021,06021,"Glenn County, California",28019,*****
0500000US06023,06023,"Humboldt County, California",134876,*****
0500000US06025,06025,"Imperial County, California",177026,*****
0500000US06027,06027,"Inyo County, California",18439,*****
0500000US06029,06029,"Kern County, California",857730,*****
0500000US06031,06031,"Kings County, California",151390,*****
0500000US06033,06033,"Lake County, California",64209,*****
0500000US06035,06035,"Lassen County, California",33356,*****
0500000US06037,06037,"Los Angeles County, California",9974203,*****
0500000US06039,06039,"Madera County, California",152452,*****
0500000US06041,06041,"Marin County, California",256802,*****
0500000US06043,06043,"Mariposa County, California",17946,*****
0500000US06045,06045,"Mendocino County, California",87612,*****
0500000US06047,06047,"Merced County, California",261609,*****
0500000US06049,06049,"Modoc County, California",9335,*****
0500000US06051,06051,"Mono County, California",14193,*****
0500000US06053,06053,"Monterey County, California",424927,*****
0500000US06055,06055,"Napa County, California",139253,*****
0500000US06057,06057,"Nevada County, California",98606,*****
0500000US06059,06059,"Orange County, California",3086331,*****
0500000US06061,06061,"Placer County, California",361518,*****
0500000US06063,06063,"Plumas County, California",19286,*****
0500000US06065,06065,"Riverside County, California",2266899,*****
0500000US06067,06067,"Sacramento County, California",1450277,*****
0500000US06069,06069,"San Benito County, California",56888,*****
0500000US06071,06071,"San Bernardino County, California",2078586,*****
0500000US06073,06073,"San Diego County, California",3183143,*****
0500000US06075,06075,"San Francisco County, California",829072,*****
0500000US06077,06077,"San Joaquin County, California",701050,*****
0500000US06079,06079,"San Luis Obispo County, California",274184,*****
0500000US06081,06081,"San Mateo County, California",739837,*****
0500000US06083,06083,"Santa Barbara County, California",431555,*****
0500000US06085,06085,"Santa Clara County, California",1841569,*****
0500000US06087,06087,"Santa Cruz County, California",267203,*****
0500000US06089,06089,"Shasta County, California",178520,*****
0500000US06091,06091,"Sierra County, California",3019,190
0500000US06093,06093,"Siskiyou County, California",44261,*****
0500000US06095,06095,"Solano County, California",421624,*****
0500000US06097,06097,"Sonoma County, California",491790,*****
0500000US06099,06099,"Stanislaus County, California",522794,*****
0500000US06101,06101,"Sutter County, California",95067,*****
0500000US06103,06103,"Tehama County, California",63284,*****
0500000US06105,06105,"Trinity County, California",13515,*****
0500000US06107,06107,"Tulare County, California",451108,*****
0500000US06109,06109,"Tuolumne County, California",54347,*****
0500000US06111,06111,"Ventura County, California",835790,*****
0500000US06113,06113,"Yolo County, California",204162,*****
0500000US06115,06115,"Yuba County, California",73059,*****
